%
% As used by Kilpatrick, D. & Cameron-Jones, M. (1998). Numeric prediction
% using instance-based learning with encoding length selection. In Progress
% in Connectionist-Based Information Systems. Singapore: Springer-Verlag.
%
% Deleted "vendor" attribute to make data consistent with with what we
% used in the data mining book.
%
@relation 'cpu'
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute class real
@data
75,2000,8000,64,1,38,75
75,2000,16000,64,1,38,113
75,2000,16000,128,1,38,157
90,256,1000,0,3,10,18
105,256,2000,0,3,10,20
105,1000,4000,0,3,24,28
105,2000,4000,8,3,19,33
75,2000,8000,8,3,24,47
75,3000,8000,8,3,48,54
175,256,2000,0,3,24,20
300,768,3000,0,6,24,23
300,768,3000,6,6,24,25
300,768,12000,6,6,24,52
300,768,4500,0,1,24,27
300,384,12000,6,1,24,50
300,192,768,6,6,24,18
180,768,12000,6,1,31,53
330,1000,3000,0,2,4,23
300,1000,4000,8,3,64,30
300,1000,16000,8,2,112,73
330,1000,2000,0,1,2,20
330,1000,4000,0,3,6,25
140,2000,4000,0,3,6,28
140,2000,4000,0,4,8,29
140,2000,4000,8,1,20,32
140,2000,32000,32,1,20,175
140,2000,8000,32,1,54,57
140,2000,32000,32,1,54,181
140,2000,32000,32,1,54,181
140,2000,4000,8,1,20,32
57,4000,16000,1,6,12,82
57,4000,24000,64,12,16,171
26,16000,32000,64,16,24,361
26,16000,32000,64,8,24,350
26,8000,32000,0,8,24,220
26,8000,16000,0,8,16,113
480,96,512,0,1,1,15
203,1000,2000,0,1,5,21
115,512,6000,16,1,6,35
1100,512,1500,0,1,1,18
1100,768,2000,0,1,1,20
600,768,2000,0,1,1,20
400,2000,4000,0,1,1,28
400,4000,8000,0,1,1,45
900,1000,1000,0,1,2,18
900,512,1000,0,1,2,17
900,1000,4000,4,1,2,26
900,1000,4000,8,1,2,28
900,2000,4000,0,3,6,28
225,2000,4000,8,3,6,31
225,2000,4000,8,3,6,31
180,2000,8000,8,1,6,42
185,2000,16000,16,1,6,76
180,2000,16000,16,1,6,76
225,1000,4000,2,3,6,26
25,2000,12000,8,1,4,59
25,2000,12000,16,3,5,65
17,4000,16000,8,6,12,101
17,4000,16000,32,6,12,116
1500,768,1000,0,0,0,18
1500,768,2000,0,0,0,20
800,768,2000,0,0,0,20
50,2000,4000,0,3,6,30
50,2000,8000,8,3,6,44
50,2000,8000,8,1,6,44
50,2000,16000,24,1,6,82
50,2000,16000,24,1,6,82
50,8000,16000,48,1,10,128
100,1000,8000,0,2,6,37
100,1000,8000,24,2,6,46
100,1000,8000,24,3,6,46
50,2000,16000,12,3,16,80
50,2000,16000,24,6,16,88
50,2000,16000,24,6,16,88
150,512,4000,0,8,128,33
115,2000,8000,16,1,3,46
115,2000,4000,2,1,5,29
92,2000,8000,32,1,6,53
92,2000,8000,32,1,6,53
92,2000,8000,4,1,6,41
75,4000,16000,16,1,6,86
60,4000,16000,32,1,6,95
60,2000,16000,64,5,8,107
60,4000,16000,64,5,8,117
50,4000,16000,64,5,10,119
72,4000,16000,64,8,16,120
72,2000,8000,16,6,8,48
40,8000,16000,32,8,16,126
40,8000,32000,64,8,24,266
35,8000,32000,64,8,24,270
38,16000,32000,128,16,32,426
48,4000,24000,32,8,24,151
38,8000,32000,64,8,24,267
30,16000,32000,256,16,24,603
112,1000,1000,0,1,4,19
84,1000,2000,0,1,6,21
56,1000,4000,0,1,6,26
56,2000,6000,0,1,8,35
56,2000,8000,0,1,8,41
56,4000,8000,0,1,8,47
56,4000,12000,0,1,8,62
56,4000,16000,0,1,8,78
38,4000,8000,32,16,32,80
38,4000,8000,32,16,32,80
38,8000,16000,64,4,8,142
38,8000,24000,160,4,8,281
38,4000,16000,128,16,32,190
200,1000,2000,0,1,2,21
200,1000,4000,0,1,4,25
200,2000,8000,64,1,5,67
250,512,4000,0,1,7,24
250,512,4000,0,4,7,24
250,1000,16000,1,1,8,64
160,512,4000,2,1,5,25
160,512,2000,2,3,8,20
160,1000,4000,8,1,14,29
160,1000,8000,16,1,14,43
160,2000,8000,32,1,13,53
240,512,1000,8,1,3,19
240,512,2000,8,1,5,22
105,2000,4000,8,3,8,31
105,2000,6000,16,6,16,41
105,2000,8000,16,4,14,47
52,4000,16000,32,4,12,99
70,4000,12000,8,6,8,67
59,4000,12000,32,6,12,81
59,8000,16000,64,12,24,149
26,8000,24000,32,8,16,183
26,8000,32000,64,12,16,275
26,8000,32000,128,24,32,382
116,2000,8000,32,5,28,56
50,2000,32000,24,6,26,182
50,2000,32000,48,26,52,227
50,2000,32000,112,52,104,341
50,4000,32000,112,52,104,360
30,8000,64000,96,12,176,919
30,8000,64000,128,12,176,978
180,262,4000,0,1,3,24
180,512,4000,0,1,3,24
180,262,4000,0,1,3,24
180,512,4000,0,1,3,24
124,1000,8000,0,1,8,37
98,1000,8000,32,2,8,50
125,2000,8000,0,2,14,41
480,512,8000,32,0,0,47
480,1000,4000,0,0,0,25
