%
% As used by Kilpatrick, D. & Cameron-Jones, M. (1998). Numeric prediction
% using instance-based learning with encoding length selection. In Progress
% in Connectionist-Based Information Systems. Singapore: Springer-Verlag.
%

@relation 'cpu'
@attribute vendor { adviser, amdahl, apollo, basf, bti, burroughs, c.r.d, cdc, cambex, dec, dg, formation, four-phase, gould, hp, harris, honeywell, ibm, ipl, magnuson, microdata, nas, ncr, nixdorf, perkin-elmer, prime, siemens, sperry, sratus, wang}
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute class real
@data
hp,105,256,2000,0,3,10,20
hp,105,1000,4000,0,3,24,28
hp,105,2000,4000,8,3,19,33
hp,75,2000,8000,8,3,24,47
hp,75,3000,8000,8,3,48,54
hp,175,256,2000,0,3,24,20
harris,300,768,3000,0,6,24,23
harris,300,768,3000,6,6,24,25
harris,300,768,12000,6,6,24,52
harris,300,768,4500,0,1,24,27
harris,300,384,12000,6,1,24,50
harris,300,192,768,6,6,24,18
harris,180,768,12000,6,1,31,53
honeywell,330,1000,3000,0,2,4,23
honeywell,300,1000,4000,8,3,64,30
honeywell,300,1000,16000,8,2,112,73
honeywell,330,1000,2000,0,1,2,20
honeywell,330,1000,4000,0,3,6,25
honeywell,140,2000,4000,0,3,6,28
honeywell,140,2000,4000,0,4,8,29
honeywell,140,2000,4000,8,1,20,32
honeywell,140,2000,32000,32,1,20,175
honeywell,140,2000,8000,32,1,54,57
honeywell,140,2000,32000,32,1,54,181
honeywell,140,2000,32000,32,1,54,181
honeywell,140,2000,4000,8,1,20,32
ibm,57,4000,16000,1,6,12,82
ibm,57,4000,24000,64,12,16,171
ibm,26,16000,32000,64,16,24,361
ibm,26,16000,32000,64,8,24,350
ibm,26,8000,32000,0,8,24,220
ibm,26,8000,16000,0,8,16,113
ibm,480,96,512,0,1,1,15
ibm,203,1000,2000,0,1,5,21
ibm,115,512,6000,16,1,6,35
ibm,1100,512,1500,0,1,1,18
ibm,1100,768,2000,0,1,1,20
ibm,600,768,2000,0,1,1,20
ibm,400,2000,4000,0,1,1,28
ibm,400,4000,8000,0,1,1,45
ibm,900,1000,1000,0,1,2,18
ibm,900,512,1000,0,1,2,17
ibm,900,1000,4000,4,1,2,26
ibm,900,1000,4000,8,1,2,28
ibm,900,2000,4000,0,3,6,28
ibm,225,2000,4000,8,3,6,31
ibm,225,2000,4000,8,3,6,31
ibm,180,2000,8000,8,1,6,42
ibm,185,2000,16000,16,1,6,76
ibm,180,2000,16000,16,1,6,76
ibm,225,1000,4000,2,3,6,26
ibm,25,2000,12000,8,1,4,59
ibm,25,2000,12000,16,3,5,65
ibm,17,4000,16000,8,6,12,101
ibm,17,4000,16000,32,6,12,116
ibm,1500,768,1000,0,0,0,18
ibm,1500,768,2000,0,0,0,20
ibm,800,768,2000,0,0,0,20
ipl,50,2000,4000,0,3,6,30
ipl,50,2000,8000,8,3,6,44
ipl,50,2000,8000,8,1,6,44
ipl,50,2000,16000,24,1,6,82
ipl,50,2000,16000,24,1,6,82
ipl,50,8000,16000,48,1,10,128
magnuson,100,1000,8000,0,2,6,37
magnuson,100,1000,8000,24,2,6,46
magnuson,100,1000,8000,24,3,6,46
magnuson,50,2000,16000,12,3,16,80
magnuson,50,2000,16000,24,6,16,88
magnuson,50,2000,16000,24,6,16,88
microdata,150,512,4000,0,8,128,33
nas,115,2000,8000,16,1,3,46
nas,115,2000,4000,2,1,5,29
nas,92,2000,8000,32,1,6,53
nas,92,2000,8000,32,1,6,53
nas,92,2000,8000,4,1,6,41
nas,75,4000,16000,16,1,6,86
nas,60,4000,16000,32,1,6,95
nas,60,2000,16000,64,5,8,107
nas,60,4000,16000,64,5,8,117
nas,50,4000,16000,64,5,10,119
nas,72,4000,16000,64,8,16,120
nas,72,2000,8000,16,6,8,48
nas,40,8000,16000,32,8,16,126
nas,40,8000,32000,64,8,24,266
nas,35,8000,32000,64,8,24,270
nas,38,16000,32000,128,16,32,426
nas,48,4000,24000,32,8,24,151
nas,38,8000,32000,64,8,24,267
nas,30,16000,32000,256,16,24,603
ncr,112,1000,1000,0,1,4,19
ncr,84,1000,2000,0,1,6,21
ncr,56,1000,4000,0,1,6,26
ncr,56,2000,6000,0,1,8,35
ncr,56,2000,8000,0,1,8,41
ncr,56,4000,8000,0,1,8,47
ncr,56,4000,12000,0,1,8,62
ncr,56,4000,16000,0,1,8,78
ncr,38,4000,8000,32,16,32,80
ncr,38,4000,8000,32,16,32,80
ncr,38,8000,16000,64,4,8,142
ncr,38,8000,24000,160,4,8,281
ncr,38,4000,16000,128,16,32,190
nixdorf,200,1000,2000,0,1,2,21
nixdorf,200,1000,4000,0,1,4,25
nixdorf,200,2000,8000,64,1,5,67
perkin-elmer,250,512,4000,0,1,7,24
perkin-elmer,250,512,4000,0,4,7,24
perkin-elmer,250,1000,16000,1,1,8,64
prime,160,512,4000,2,1,5,25
prime,160,512,2000,2,3,8,20
prime,160,1000,4000,8,1,14,29
prime,160,1000,8000,16,1,14,43
prime,160,2000,8000,32,1,13,53
siemens,240,512,1000,8,1,3,19
siemens,240,512,2000,8,1,5,22
siemens,105,2000,4000,8,3,8,31
siemens,105,2000,6000,16,6,16,41
siemens,105,2000,8000,16,4,14,47
siemens,52,4000,16000,32,4,12,99
siemens,70,4000,12000,8,6,8,67
siemens,59,4000,12000,32,6,12,81
siemens,59,8000,16000,64,12,24,149
siemens,26,8000,24000,32,8,16,183
siemens,26,8000,32000,64,12,16,275
siemens,26,8000,32000,128,24,32,382
sperry,116,2000,8000,32,5,28,56
sperry,50,2000,32000,24,6,26,182
sperry,50,2000,32000,48,26,52,227
sperry,50,2000,32000,112,52,104,341
sperry,50,4000,32000,112,52,104,360
sperry,30,8000,64000,96,12,176,919
sperry,30,8000,64000,128,12,176,978
sperry,180,262,4000,0,1,3,24
sperry,180,512,4000,0,1,3,24
sperry,180,262,4000,0,1,3,24
sperry,180,512,4000,0,1,3,24
sperry,124,1000,8000,0,1,8,37
sperry,98,1000,8000,32,2,8,50
sratus,125,2000,8000,0,2,14,41
wang,480,512,8000,32,0,0,47
wang,480,1000,4000,0,0,0,25
