Fat.grams	Food.energy.calories	Carbohydrates.grams	Protein.grams	Cholesterol.mg	weight.grams	Saturated.fat.grams	cluster.id	Fat2.grams	Food.energy2.calories	Carbohydrates2.grams	Protein2.grams	Cholesterol2.mg	Saturated.fat2.grams
3	120	23	1	0	28.35	1.7	1	.10582010582010581	4.232804232804233	.8112874779541446	.03527336860670194	0	.059964726631393295
3	115	22	1	1	28.35	2.2	1	.10582010582010581	4.056437389770723	.7760141093474426	.03527336860670194	.03527336860670194	.07760141093474426
0	30	7	1	0	72	0	1	0	.4166666666666667	.09722222222222222	.013888888888888888	0	0
0	15	4	0	0	15	0	1	0	1	.26666666666666666	0	0	0
1	10	1	0	0	2	0	1	.5	5	.5	0	0	0
0	5	1	0	0	40	0	1	0	.125	.025	0	0	0
6	70	0	4	18	17	3.6	1	.35294117647058826	4.117647058823529	0	.23529411764705882	1.0588235294117647	.21176470588235294
2	110	20	4	0	28.35	.3	1	.07054673721340388	3.880070546737213	.7054673721340388	.14109347442680775	0	.010582010582010581
3	50	6	1	6	10	.9	1	.3	5	.6	.1	.6	.09
2	40	5	1	1	8	.4	1	.25	5	.625	.125	.125	.05
1	50	11	1	0	68	.1	1	.014705882352941176	.7352941176470589	.16176470588235295	.014705882352941176	0	.0014705882352941176
1	30	0	5	126	20	.4	1	.05	1.5	0	.25	6.3	.02
0	10	1	0	0	2.6	.1	1	0	3.846153846153846	.3846153846153846	0	0	.038461538461538464
0	5	2	0	0	2.3	0	1	0	2.173913043478261	.8695652173913044	0	0	0
1	75	19	1	0	21	.3	1	.047619047619047616	3.5714285714285716	.9047619047619048	.047619047619047616	0	.014285714285714285
1	100	22	3	1	28.35	.6	1	.03527336860670194	3.527336860670194	.7760141093474426	.10582010582010581	.03527336860670194	.021164021164021163
2	25	2	1	9	16	.5	1	.125	1.5625	.125	.0625	.5625	.03125
9	155	16	2	0	28.35	1.4	1	.31746031746031744	5.467372134038801	.564373897707231	.07054673721340388	0	.04938271604938271
0	110	24	2	0	28.35	0	1	0	3.880070546737213	.8465608465608465	.07054673721340388	0	0
0	110	24	2	0	28.35	0	1	0	3.880070546737213	.8465608465608465	.07054673721340388	0	0
5	145	21	3	23	45	1.5	1	.1111111111111111	3.2222222222222223	.4666666666666667	.06666666666666667	.5111111111111111	.03333333333333333
14	125	0	0	0	14	1.8	1	1	8.928571428571429	0	0	0	.1285714285714286
0	60	14	2	0	63	.1	1	0	.9523809523809523	.2222222222222222	.031746031746031744	0	.0015873015873015873
0	60	14	2	0	63	.1	1	0	.9523809523809523	.2222222222222222	.031746031746031744	0	.0015873015873015873
1	85	19	3	0	77	.2	1	.012987012987012988	1.103896103896104	.24675324675324675	.03896103896103896	0	.0025974025974025974
1	85	19	3	0	77	.2	1	.012987012987012988	1.103896103896104	.24675324675324675	.03896103896103896	0	.0025974025974025974
1	65	12	2	0	25	.2	1	.04	2.6	.48	.08	0	.008
1	65	12	2	0	21	.2	1	.047619047619047616	3.0952380952380953	.5714285714285714	.09523809523809523	0	.009523809523809525
0	5	1	0	0	28	0	1	0	.17857142857142858	.03571428571428571	0	0	0
0	5	1	0	0	2	0	1	0	2.5	.5	0	0	0
6	110	13	2	24	28.35	1.8	1	.21164021164021163	3.880070546737213	.4585537918871252	.07054673721340388	.8465608465608465	.06349206349206349
4	120	20	2	19	35	1.8	1	.11428571428571428	3.4285714285714284	.5714285714285714	.05714285714285714	.5428571428571428	.05142857142857143
0	15	0	4	0	33	0	1	0	.45454545454545453	0	.12121212121212122	0	0
0	10	2	1	0	50	0	1	0	.2	.04	.02	0	0
1	140	27	5	0	57	.3	1	.017543859649122806	2.456140350877193	.47368421052631576	.08771929824561403	0	.005263157894736842
1	140	27	5	0	50	.3	1	.02	2.8	.54	.1	0	.006
13	115	0	0	0	13	3.3	1	1	8.846153846153847	0	0	0	.25384615384615383
6	75	1	4	25	28.35	4.2	1	.21164021164021163	2.6455026455026456	.03527336860670194	.14109347442680775	.8818342151675485	.14814814814814814
3	70	4	6	26	28	.8	1	.10714285714285714	2.5	.14285714285714285	.21428571428571427	.9285714285714286	.028571428571428574
0	105	27	0	0	28.35	0	1	0	3.7037037037037037	.9523809523809523	0	0	0
1	100	18	3	0	35	.3	1	.02857142857142857	2.857142857142857	.5142857142857142	.08571428571428572	0	.008571428571428572
2	25	2	0	0	16	.2	1	.125	1.5625	.125	0	0	.0125
9	85	1	0	0	16	1.4	1	.5625	5.3125	.0625	0	0	.0875
1	110	25	2	0	28.35	.2	1	.03527336860670194	3.880070546737213	.8818342151675485	.07054673721340388	0	.007054673721340388
3	115	21	1	1	28.35	2.1	1	.10582010582010581	4.056437389770723	.7407407407407407	.03527336860670194	.03527336860670194	.07407407407407407
0	10	2	0	0	2.8	0	1	0	3.5714285714285716	.7142857142857143	0	0	0
0	25	0	6	0	7	0	1	0	3.5714285714285716	0	.8571428571428571	0	0
4	175	32	2	1	63	1.1	1	.06349206349206349	2.7777777777777777	.5079365079365079	.031746031746031744	.015873015873015872	.01746031746031746
0	95	0	0	0	42	0	1	0	2.261904761904762	0	0	0	0
0	105	0	0	0	42	0	1	0	2.5	0	0	0	0
0	110	0	0	0	42	0	1	0	2.619047619047619	0	0	0	0
1	110	24	2	0	28.35	.7	1	.03527336860670194	3.880070546737213	.8465608465608465	.07054673721340388	0	.024691358024691357
1	60	11	1	0	14	.4	1	.07142857142857142	4.285714285714286	.7857142857142857	.07142857142857142	0	.028571428571428574
0	100	23	3	0	28.35	0	1	0	3.527336860670194	.8112874779541446	.10582010582010581	0	0
0	35	9	0	0	50	.1	1	0	.7	.18	0	0	.002
0	40	10	0	0	57	.1	1	0	.7017543859649122	.17543859649122806	0	0	.0017543859649122807
0	100	25	0	0	28.35	0	1	0	3.527336860670194	.8818342151675485	0	0	0
2	20	1	0	6	15	1.1	1	.13333333333333333	1.3333333333333333	.06666666666666667	0	.4	.07333333333333333
0	110	28	0	0	28.35	0	1	0	3.880070546737213	.9876543209876543	0	0	0
0	65	17	0	0	21	0	1	0	3.0952380952380953	.8095238095238095	0	0	0
1	105	23	3	0	28.35	.1	1	.03527336860670194	3.7037037037037037	.8112874779541446	.10582010582010581	0	.003527336860670194
5	100	12	2	22	50	3.4	1	.1	2	.24	.04	.44	.068
1	20	2	0	0	15	1.4	1	.06666666666666667	1.3333333333333333	.13333333333333333	0	0	.09333333333333332
1	10	1	0	0	2	.7	1	.5	5	.5	0	0	.35
1	15	1	0	0	4	.9	1	.25	3.75	.25	0	0	.225
2	20	1	0	1	12	1.6	1	.16666666666666666	1.6666666666666667	.08333333333333333	0	.08333333333333333	.13333333333333333
1	10	1	0	0	4	.8	1	.25	2.5	.25	0	0	.2
0	10	1	0	0	4	.4	1	0	2.5	.25	0	0	.1
0	85	17	3	0	30	0	1	0	2.8333333333333335	.5666666666666667	.1	0	0
0	5	2	0	0	15	0	1	0	.3333333333333333	.13333333333333333	0	0	0
9	80	1	0	0	15	1.3	1	.6	5.333333333333333	.06666666666666667	0	0	.08666666666666667
0	40	10	0	0	14	0	1	0	2.857142857142857	.7142857142857143	0	0	0
0	55	14	0	0	20	0	1	0	2.75	.7	0	0	0
0	40	10	0	0	14	0	1	0	2.857142857142857	.7142857142857143	0	0	0
0	50	13	0	0	18	0	1	0	2.7777777777777777	.7222222222222222	0	0	0
0	105	26	0	0	28.35	0	1	0	3.7037037037037037	.9171075837742504	0	0	0
0	45	11	1	0	76	0	1	0	.5921052631578947	.14473684210526316	.013157894736842105	0	0
0	5	1	0	0	15	0	1	0	.3333333333333333	.06666666666666667	0	0	0
0	15	5	1	0	58	0	1	0	.25862068965517243	.08620689655172414	.017241379310344827	0	0
0	0	0	0	0	15	0	1	0	0	0	0	0	0
0	5	1	1	0	55	0	1	0	.09090909090909091	.01818181818181818	.01818181818181818	0	0
0	10	2	1	0	56	0	1	0	.17857142857142858	.03571428571428571	.017857142857142856	0	0
3	30	1	0	10	15	1.8	1	.2	2	.06666666666666667	0	.6666666666666666	.12000000000000001
1	110	23	3	0	28.35	.2	1	.03527336860670194	3.880070546737213	.8112874779541446	.10582010582010581	0	.007054673721340388
1	85	18	1	1	21	.5	1	.047619047619047616	4.0476190476190474	.8571428571428571	.047619047619047616	.047619047619047616	.023809523809523808
2	85	15	3	4	21	.9	1	.09523809523809523	4.0476190476190474	.7142857142857143	.14285714285714285	.19047619047619047	.04285714285714286
5	50	0	0	0	14	1.1	1	.35714285714285715	3.5714285714285716	0	0	0	.07857142857142858
4	35	0	0	0	5	.8	1	.8	7	0	0	0	.16
11	100	0	0	0	14	2.2	1	.7857142857142857	7.142857142857143	0	0	0	.15714285714285717
11	100	0	0	0	14	1.9	1	.7857142857142857	7.142857142857143	0	0	0	.1357142857142857
3	25	0	0	0	5	.7	1	.6	5	0	0	0	.13999999999999999
9	75	0	0	0	14	2	1	.6428571428571429	5.357142857142857	0	0	0	.14285714285714285
9	75	0	0	0	14	1.8	1	.6428571428571429	5.357142857142857	0	0	0	.1285714285714286
0	90	23	1	0	28.35	0	1	0	3.1746031746031744	.8112874779541446	.03527336860670194	0	0
5	60	4	0	4	15	.7	1	.3333333333333333	4	.26666666666666666	0	.26666666666666666	.04666666666666666
3	35	2	0	4	15	.5	1	.2	2.3333333333333335	.13333333333333333	0	.26666666666666666	.03333333333333333
11	100	0	0	8	14	1.7	1	.7857142857142857	7.142857142857143	0	0	.5714285714285714	.12142857142857143
0	20	4	1	0	5	.1	1	0	4	.8	.2	0	.02
1	65	12	2	0	25	.2	1	.04	2.6	.48	.08	0	.008
1	65	12	2	0	23	.2	1	.043478260869565216	2.8260869565217392	.5217391304347826	.08695652173913043	0	.008695652173913044
0	85	22	0	0	40	0	1	0	2.125	.55	0	0	0
6	80	1	6	22	28.35	3.7	1	.21164021164021163	2.821869488536155	.03527336860670194	.21164021164021163	.7760141093474426	.13051146384479717
5	80	1	8	15	28.35	3.1	1	.1763668430335097	2.821869488536155	.03527336860670194	.2821869488536155	.5291005291005291	.10934744268077601
0	20	3	1	0	70	0	1	0	.2857142857142857	.04285714285714286	.014285714285714285	0	0
0	5	0	0	0	5	0	1	0	1	0	0	0	0
5	125	19	3	0	28.35	3.3	1	.1763668430335097	4.409171075837742	.6701940035273368	.10582010582010581	0	.1164021164021164
1	65	12	2	0	25	.2	1	.04	2.6	.48	.08	0	.008
1	65	12	2	0	23	.2	1	.043478260869565216	2.8260869565217392	.5217391304347826	.08695652173913043	0	.008695652173913044
14	125	0	0	0	14	1.9	1	1	8.928571428571429	0	0	0	.1357142857142857
2	15	0	0	0	13	.2	1	.15384615384615385	1.1538461538461537	0	0	0	.015384615384615385
2	15	0	0	0	9	.3	1	.2222222222222222	1.6666666666666667	0	0	0	.03333333333333333
0	5	2	0	0	2.1	0	1	0	2.380952380952381	.9523809523809523	0	0	0
5	80	8	1	0	20	1.7	1	.25	4	.4	.05	0	.08499999999999999
0	20	4	1	0	7	.1	1	0	2.857142857142857	.5714285714285714	.14285714285714285	0	.014285714285714287
0	10	2	1	0	30	0	1	0	.3333333333333333	.06666666666666667	.03333333333333333	0	0
0	5	1	0	0	1.5	0	1	0	3.3333333333333335	.6666666666666666	0	0	0
5	90	5	5	35	45	1.4	1	.1111111111111111	2	.1111111111111111	.1111111111111111	.7777777777777778	.03111111111111111
2	55	6	2	20	27	.9	1	.07407407407407407	2.037037037037037	.2222222222222222	.07407407407407407	.7407407407407407	.03333333333333333
2	60	8	2	16	27	.5	1	.07407407407407407	2.2222222222222223	.2962962962962963	.07407407407407407	.5925925925925926	.018518518518518517
2	60	9	2	16	27	.5	1	.07407407407407407	2.2222222222222223	.3333333333333333	.07407407407407407	.5925925925925926	.018518518518518517
0	5	1	0	0	2.1	0	1	0	2.380952380952381	.47619047619047616	0	0	0
2	25	0	2	4	5	1	1	.4	5	0	.4	.8	.2
0	0	0	0	0	.4	0	1	0	0	0	0	0	0
0	5	1	0	0	10	0	1	0	.5	.1	0	0	0
6	80	2	5	16	28.35	3.8	1	.21164021164021163	2.821869488536155	.07054673721340388	.1763668430335097	.564373897707231	.13403880070546736
0	60	16	0	0	81	0	1	0	.7407407407407407	.19753086419753085	0	0	0
0	35	9	0	0	77	0	1	0	.45454545454545453	.11688311688311688	0	0	0
8	95	3	5	0	16	1.4	1	.5	5.9375	.1875	.3125	0	.0875
14	125	0	0	0	14	2.4	1	1	8.928571428571429	0	0	0	.17142857142857143
0	60	15	0	0	79	0	1	0	.759493670886076	.189873417721519	0	0	0
0	40	10	0	0	77	0	1	0	.5194805194805194	.12987012987012986	0	0	0
0	20	4	1	0	45	0	1	0	.4444444444444444	.08888888888888889	.022222222222222223	0	0
0	20	4	1	0	45	0	1	0	.4444444444444444	.08888888888888889	.022222222222222223	0	0
0	15	3	0	0	73	0	1	0	.2054794520547945	.0410958904109589	0	0	0
0	15	3	0	0	73	0	1	0	.2054794520547945	.0410958904109589	0	0	0
0	20	4	1	0	74	0	1	0	.2702702702702703	.05405405405405406	.013513513513513514	0	0
0	20	4	1	0	74	0	1	0	.2702702702702703	.05405405405405406	.013513513513513514	0	0
0	5	1	0	0	2.1	0	1	0	2.380952380952381	.47619047619047616	0	0	0
0	5	1	0	0	65	0	1	0	.07692307692307693	.015384615384615385	0	0	0
0	10	3	0	0	15	0	1	0	.6666666666666666	.2	0	0	0
0	20	5	0	0	15	0	1	0	1.3333333333333333	.3333333333333333	0	0	0
0	45	12	0	0	58	0	1	0	.7758620689655172	.20689655172413793	0	0	0
0	35	9	0	0	58	0	1	0	.603448275862069	.15517241379310345	0	0	0
1	165	33	6	0	60	.1	1	.016666666666666666	2.75	.55	.1	0	.0016666666666666668
0	15	4	0	0	28	0	1	0	.5357142857142857	.14285714285714285	0	0	0
0	35	9	1	0	66	0	1	0	.5303030303030303	.13636363636363635	.015151515151515152	0	0
0	30	6	1	0	8	0	1	0	3.75	.75	.125	0	0
3	55	6	1	0	11	.5	1	.2727272727272727	5	.5454545454545454	.09090909090909091	0	.045454545454545456
1	135	30	2	0	35	.1	1	.02857142857142857	3.857142857142857	.8571428571428571	.05714285714285714	0	.002857142857142857
4	50	0	3	11	13	1.4	1	.3076923076923077	3.8461538461538463	0	.23076923076923078	.8461538461538461	.10769230769230768
7	105	10	1	0	20	1.8	1	.35	5.25	.5	.05	0	.09
4	110	17	2	0	50	2.1	1	.08	2.2	.34	.04	0	.042
5	120	15	2	32	30	1.2	1	.16666666666666666	4	.5	.06666666666666667	1.0666666666666667	.04
0	10	2	0	0	3	0	1	0	3.3333333333333335	.6666666666666666	0	0	0
1	65	13	2	0	16	.1	1	.0625	4.0625	.8125	.125	0	.00625
0	110	24	3	0	28.35	0	1	0	3.880070546737213	.8465608465608465	.10582010582010581	0	0
0	115	31	1	0	49	0	1	0	2.3469387755102042	.6326530612244898	.02040816326530612	0	0
1	80	16	3	0	32	.2	1	.03125	2.5	.5	.09375	0	.00625
1	80	16	3	0	29	.2	1	.034482758620689655	2.7586206896551726	.5517241379310345	.10344827586206896	0	.006896551724137932
0	5	1	0	0	18	0	1	0	.2777777777777778	.05555555555555555	0	0	0
1	90	21	3	0	28.35	.1	1	.03527336860670194	3.1746031746031744	.7407407407407407	.10582010582010581	0	.003527336860670194
1	85	21	3	0	28.35	.1	1	.03527336860670194	2.998236331569665	.7407407407407407	.10582010582010581	0	.003527336860670194
1	65	13	2	0	25	.2	1	.04	2.6	.52	.08	0	.008
1	65	13	2	0	21	.2	1	.047619047619047616	3.0952380952380953	.6190476190476191	.09523809523809523	0	.009523809523809525
0	40	11	0	0	14	0	1	0	2.857142857142857	.7857142857142857	0	0	0
0	20	5	0	0	15	0	1	0	1.3333333333333333	.3333333333333333	0	0	0
0	110	25	2	0	28.35	0	1	0	3.880070546737213	.8818342151675485	.07054673721340388	0	0
2	85	14	2	0	28	.5	1	.07142857142857142	3.0357142857142856	.5	.07142857142857142	0	.017857142857142856
3	120	20	3	12	35	.8	1	.08571428571428572	3.4285714285714284	.5714285714285714	.08571428571428572	.34285714285714286	.022857142857142857
2	115	20	3	0	40	.5	1	.05	2.875	.5	.075	0	.0125
2	155	30	5	0	50	.4	1	.04	3.1	.6	.1	0	.008
1	65	12	2	0	25	.2	1	.04	2.6	.48	.08	0	.008
1	65	12	2	0	22	.2	1	.045454545454545456	2.9545454545454546	.5454545454545454	.09090909090909091	0	.009090909090909092
1	55	10	1	0	14	.3	1	.07142857142857142	3.9285714285714284	.7142857142857143	.07142857142857142	0	.02142857142857143
14	125	0	0	0	14	1.3	1	1	8.928571428571429	0	0	0	.09285714285714286
7	85	1	5	16	20	2.4	1	.35	4.25	.05	.25	.8	.12
0	0	0	0	0	5.5	0	1	0	0	0	0	0	0
1	50	9	1	4	12	.5	1	.08333333333333333	4.166666666666667	.75	.08333333333333333	.3333333333333333	.041666666666666664
3	35	2	1	6	15	.9	1	.2	2.3333333333333335	.13333333333333333	.06666666666666667	.4	.060000000000000005
0	10	3	0	0	28.35	.1	1	0	.3527336860670194	.10582010582010581	0	0	.003527336860670194
4	45	1	2	0	8	.6	1	.5	5.625	.125	.25	0	.075
8	145	17	2	0	28	1.3	1	.2857142857142857	5.178571428571429	.6071428571428571	.07142857142857142	0	.04642857142857143
1	100	23	3	0	28.35	.1	1	.03527336860670194	3.527336860670194	.8112874779541446	.10582010582010581	0	.003527336860670194
4	105	17	1	15	28	1.7	1	.14285714285714285	3.75	.6071428571428571	.03571428571428571	.5357142857142857	.060714285714285714
5	155	27	1	7	42	2.3	1	.11904761904761904	3.6904761904761907	.6428571428571429	.023809523809523808	.16666666666666666	.054761904761904755
1	15	2	0	0	3	.2	1	.3333333333333333	5	.6666666666666666	0	0	.06666666666666667
3	25	1	0	5	12	1.6	1	.25	2.0833333333333335	.08333333333333333	0	.4166666666666667	.13333333333333333
0	10	2	2	0	18	0	1	0	.5555555555555556	.1111111111111111	.1111111111111111	0	0
14	125	0	0	0	14	2.5	1	1	8.928571428571429	0	0	0	.17857142857142858
14	125	0	0	0	14	2.1	1	1	8.928571428571429	0	0	0	.15
0	110	21	6	0	28.35	0	1	0	3.880070546737213	.7407407407407407	.21164021164021163	0	0
0	10	2	2	0	55	0	1	0	.18181818181818182	.03636363636363636	.03636363636363636	0	0
0	110	26	1	0	28.35	0	1	0	3.880070546737213	.9171075837742504	.03527336860670194	0	0
1	105	25	2	0	28.35	.1	1	.03527336860670194	3.7037037037037037	.8818342151675485	.07054673721340388	0	.003527336860670194
0	25	6	0	0	6	0	1	0	4.166666666666667	1	0	0	0
0	45	12	0	0	12	0	1	0	3.75	1	0	0	0
14	125	0	0	0	14	1.4	1	1	8.928571428571429	0	0	0	.09999999999999999
0	105	26	2	0	28.35	0	1	0	3.7037037037037037	.9171075837742504	.07054673721340388	0	0
0	35	8	1	0	40	0	1	0	.875	.2	.025	0	0
0	85	22	1	0	38	.2	1	0	2.236842105263158	.5789473684210527	.02631578947368421	0	.005263157894736842
5	125	21	2	0	38	3.1	1	.13157894736842105	3.289473684210526	.5526315789473685	.05263157894736842	0	.08157894736842106
0	122	32	0	0	42	0	1	0	2.9047619047619047	.7619047619047619	0	0	0
8	90	3	3	0	15	1.1	1	.5333333333333333	6	.2	.2	0	.07333333333333333
8	75	1	0	4	14	1.2	1	.5714285714285714	5.357142857142857	.07142857142857142	0	.2857142857142857	.08571428571428572
1	65	13	2	0	30	.1	1	.03333333333333333	2.1666666666666665	.43333333333333335	.06666666666666667	0	.0033333333333333335
1	100	22	3	0	28.35	.1	1	.03527336860670194	3.527336860670194	.7760141093474426	.10582010582010581	0	.003527336860670194
0	110	25	2	0	28.35	.2	1	0	3.880070546737213	.8818342151675485	.07054673721340388	0	.007054673721340388
1	45	0	10	17	42	.2	1	.023809523809523808	1.0714285714285714	0	.23809523809523808	.40476190476190477	.004761904761904762
1	45	0	10	17	42	.2	1	.023809523809523808	1.0714285714285714	0	.23809523809523808	.40476190476190477	.004761904761904762
1	70	13	2	0	25	.2	1	.04	2.8	.52	.08	0	.008
4	45	0	2	8	16	1.5	1	.25	2.8125	0	.125	.5	.09375
8	70	0	0	0	16	1.5	1	.5	4.375	0	0	0	.09375
0	0	1	0	0	15	0	1	0	0	.06666666666666667	0	0	0
1	65	12	2	0	25	.2	1	.04	2.6	.48	.08	0	.008
1	65	12	3	0	23	.2	1	.043478260869565216	2.8260869565217392	.5217391304347826	.13043478260869565	0	.008695652173913044
0	100	23	3	0	28.35	.1	1	0	3.527336860670194	.8112874779541446	.10582010582010581	0	.003527336860670194
1	35	5	1	0	8	.5	1	.125	4.375	.625	.125	0	.0625
1	10	0	0	2	3	.4	1	.3333333333333333	3.3333333333333335	0	0	.6666666666666666	.13333333333333333
6	50	0	0	21	15	3.5	1	.4	3.3333333333333335	0	0	1.4	.23333333333333334
5	45	0	0	17	15	2.9	1	.3333333333333333	3	0	0	1.1333333333333333	.19333333333333333
2	120	22	4	0	45	.6	1	.044444444444444446	2.6666666666666665	.4888888888888889	.08888888888888889	0	.013333333333333332
1	80	15	2	0	30	.4	1	.03333333333333333	2.6666666666666665	.5	.06666666666666667	0	.013333333333333334
1	65	12	2	0	25	.3	1	.04	2.6	.48	.08	0	.012
1	55	10	2	0	20	.2	1	.05	2.75	.5	.1	0	.01
1	65	12	2	0	22	.3	1	.045454545454545456	2.9545454545454546	.5454545454545454	.09090909090909091	0	.013636363636363636
1	55	10	2	0	17	.2	1	.058823529411764705	3.235294117647059	.5882352941176471	.11764705882352941	0	.011764705882352941
1	70	13	3	0	28	.4	1	.03571428571428571	2.5	.4642857142857143	.10714285714285714	0	.014285714285714287
1	70	13	3	0	25	.4	1	.04	2.8	.52	.12	0	.016
2	35	5	1	0	8	.5	1	.25	4.375	.625	.125	0	.0625
0	20	3	3	0	7	0	1	0	2.857142857142857	.42857142857142855	.42857142857142855	0	0
0	25	3	3	0	8	0	1	0	3.125	.375	.375	0	0
6	135	18	3	0	28.35	4.1	2	.21164021164021163	4.761904761904762	.6349206349206349	.10582010582010581	0	.14462081128747795
15	165	6	6	0	28.35	1.4	2	.5291005291005291	5.82010582010582	.21164021164021163	.21164021164021163	0	.04938271604938271
18	405	60	3	0	158	4.6	2	.11392405063291139	2.5632911392405062	.379746835443038	.0189873417721519	0	.02911392405063291
30	305	12	4	0	173	4.5	2	.17341040462427745	1.7630057803468209	.06936416184971098	.023121387283236993	0	.02601156069364162
2	200	38	7	44	68	.3	2	.029411764705882353	2.9411764705882355	.5588235294117647	.10294117647058823	.6470588235294118	.004411764705882353
2	200	38	7	0	68	.3	2	.029411764705882353	2.9411764705882355	.5588235294117647	.10294117647058823	0	.004411764705882353
8	100	1	6	21	28.35	5.3	2	.2821869488536155	3.527336860670194	.03527336860670194	.21164021164021163	.7407407407407407	.18694885361552027
5	140	22	3	45	45	1.4	2	.1111111111111111	3.111111111111111	.4888888888888889	.06666666666666667	1	.03111111111111111
17	380	55	4	0	158	4.3	2	.10759493670886076	2.4050632911392404	.34810126582278483	.02531645569620253	0	.02721518987341772
16	180	2	7	31	57	6.1	2	.2807017543859649	3.1578947368421053	.03508771929824561	.12280701754385964	.543859649122807	.10701754385964912
18	205	2	8	89	57	6.2	2	.3157894736842105	3.5964912280701755	.03508771929824561	.14035087719298245	1.5614035087719298	.10877192982456141
19	185	4	4	0	28.35	4.6	2	.6701940035273368	6.525573192239858	.14109347442680775	.14109347442680775	0	.16225749559082892
31	500	50	9	0	140	6.1	2	.22142857142857142	3.5714285714285716	.35714285714285715	.06428571428571428	0	.043571428571428567
26	420	40	9	67	203	5.3	2	.12807881773399016	2.0689655172413794	.19704433497536947	.04433497536945813	.33004926108374383	.026108374384236452
5	390	73	13	5	100	1.5	2	.05	3.9	.73	.13	.05	.015
1	340	78	6	0	98	.2	2	.01020408163265306	3.4693877551020407	.7959183673469388	.061224489795918366	0	.0020408163265306124
3	600	129	19	0	170	1.2	2	.01764705882352941	3.5294117647058822	.7588235294117647	.11176470588235295	0	.007058823529411764
