% This is a dataset obtained from the StatLib repository. Here is the included description:
%
% The data provided are daily stock prices from January 1988 through October 1991, for ten aerospace companies.
%
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Original source: StatLib repository. 
% Characteristics: 950 cases, 10 continuous attributes

@relation stock

@attribute company1 numeric
@attribute company2 numeric
@attribute company3 numeric
@attribute company4 numeric
@attribute company5 numeric
@attribute company6 numeric
@attribute company7 numeric
@attribute company8 numeric
@attribute company9 numeric
@attribute company10 numeric

@data
21.781,55,20.75,43.25,62.75,28.875,66.75,18.625,43,38.25
21.609,55.125,20.625,43.625,62.875,28.625,66.625,18.75,42.25,38.375
21.719,55.375,20.5,43.75,64.125,28.875,66.75,18.625,43.125,38.5
21.5,54.625,20.375,43.375,63.75,28.25,65.5,18.5,43,37.25
21.5,53.625,20.125,42.625,63.625,28.25,65.625,18.125,43,37.5
22.109,54.375,20.375,42.5,63,28.625,66.125,18.25,44.25,38.375
22.281,55,20.625,43,63.125,29.25,66,18.625,44.5,37.625
22.438,54.25,20.375,42.5,62.5,28.375,65.25,18.5,44.625,36.75
22,53.125,19.75,42.375,62,28.25,63.875,18.25,44.5,36
21.781,53.5,19.625,41.75,61.75,28.875,63.25,18.5,44.5,36.375
22.438,54.5,19.875,41.875,61.5,29.125,62.875,18.5,44.75,37.25
23,53.875,19.625,41.625,60.25,29,62.75,18,44.75,37.375
23.938,53.625,19.875,42.375,60.625,28.875,63.25,18.5,44.875,38.125
23.828,53.625,19.875,41.875,60.5,28.625,62.5,18.75,45,36.625
23.781,53,20.25,40.75,60.125,29,61.75,18.75,45.25,36.625
23.938,53,19.875,40,59.5,28.75,61.5,18.625,45,36
24.438,54.125,19.875,41,59.5,29.5,62.5,19.25,46,37.5
24.5,53.25,20,43,59.75,29.375,62,19.375,47,38
24.438,52.875,20,42.375,59.625,29,63.125,19.375,46.625,38
24.5,52.75,19.75,41.875,60.375,28.875,63.75,19.5,46.75,38.75
24.672,53.375,20.625,41.625,60.875,29.375,64.125,19.75,46.5,38
24.109,52.75,20.75,41.25,61,29,63.625,19.25,45.875,38.25
24.391,54,20.75,42.875,61.5,29.75,64.75,19.5,47.75,38.75
24.609,54.5,20.5,42.875,61.25,29.625,64.75,19.75,47.875,39.875
24.828,54.5,20.625,43.625,61.875,29.375,64.75,20,47.25,38.875
24.781,54.25,21.125,43.875,62.25,29.5,64.875,20.25,46.25,38.75
25.063,55,21.125,44.75,63.25,29.875,65.75,20.875,47.25,39.875
25.219,55.25,21.25,45,63.5,30.25,66.5,21.125,47.375,39.75
24.109,55,20.75,45,62.75,29.625,65.625,20.125,47.875,38.875
24.391,55.25,21.125,45.125,62.75,29.375,65.875,21,48.5,39.125
24.281,54,21.5,44.25,62.375,29.125,65.5,20.375,47.625,38.375
24.938,54.5,22.375,44.25,62.875,29.25,64.625,21.25,48.25,39.25
25.719,54.75,23,45.125,64,29.5,65.25,21.5,48.75,39.75
25.672,53.625,23.125,44.5,64,29.125,65.5,21.375,48.875,39.375
25.672,53.125,22.75,44.25,64.125,28.875,65.875,21.25,49,38.75
25.672,53.625,22.375,43.25,63.5,28.75,65.125,20.75,48,38.375
25.672,53.625,22.5,43.75,63.875,29.125,65.625,20.75,48.125,38.5
25.828,52.75,21.625,44,64,29,65.625,20.375,47.5,38.25
26.109,53,21.75,44.75,64.125,29.875,66,21.125,49,38.5
26.219,53,22.625,43.75,64.25,29.375,66,21.25,48,38.625
26.281,52.75,23,43.5,64.875,30.25,66.5,21.75,47.875,38.375
26.172,52.75,22.25,43.125,64.375,30.125,65.625,21.25,46.375,38.5
26.219,52.75,22.5,43.875,64.625,29.875,65.375,20.875,46,38.125
26.109,53,22.5,43.875,64.375,30,65.125,20.875,46.375,37.625
26.219,53.25,22.75,44.125,64.25,30.375,65.125,21,47.5,37.25
26.063,52.625,22.375,43.25,64,31,64.75,20.625,47.875,36.875
26.438,53,22.5,43.875,64.5,31.5,65.375,21.125,48.625,37.125
26.281,53.375,22.625,43.625,65,32.25,66,21.125,48.75,38.125
26.281,53.75,22.5,43.5,65.375,31.625,66.125,21.5,49,37.5
25.781,53.25,22.25,43.125,65,31.5,66.375,21.25,47.25,38.125
25.672,53.25,22.125,42.625,64.75,31,65.625,21.125,46.375,37.375
25.828,53.875,22.125,43.25,65.125,30.625,66.625,21.5,46.75,37.5
25.609,53.75,21.75,42.75,64.625,30.625,65.75,21,46.125,37
25.563,53.375,21.25,41.25,63.75,30.125,65.25,20.25,45,36.5
25.891,53,21.5,41.375,64.25,30.5,65.25,20.5,45.5,36.75
26.219,53,21,41.5,64.125,30.375,65.625,20.375,45.25,37
25.828,52.125,21,40.75,64.25,30.375,65.75,19.875,45.25,36.75
26.5,52.25,21.125,41.25,64.875,30.875,66.25,20.875,45.5,37
26.891,52.875,22.125,41.25,66.125,31.25,66.5,21.875,47.125,37.5
27.719,53,21.75,41,65.75,31.125,67.5,21.625,47.5,37.375
27.781,53.125,21.75,41.125,65.375,31,67.5,21.5,46.75,38.125
27.781,52.875,21.25,41,65.625,31.125,67.75,20.875,46.25,38
27.781,52.5,21.375,41.375,65.125,31,67.5,20.875,45.625,37.625
27.672,52.5,21.5,41.75,65,30.875,66.75,20.875,45.375,38.25
26.891,51.75,21.5,40.875,64.875,30.5,68,20.75,44.625,37.625
27.109,51.125,21.25,39.375,63.875,30,67.125,20.125,44,36.875
26.5,50.875,20.5,39,63.125,29.875,65.375,19.75,43.125,36.5
26.5,51,20.75,39.25,63.125,30.25,65,19.75,43.125,36.125
26.438,50.5,20.75,40.375,63,30,65.625,19.875,42.75,36.375
26.063,49.875,20.75,40,62.625,29.625,64.75,19.625,41,36.375
26,49.5,21.5,39,63,29.625,64.25,19.75,41.75,36.25
26.281,50.25,21.75,39,62.75,29.625,65.125,19.875,41.75,36.25
26.063,49.875,21.875,38.875,64,29.625,64.75,20,41.5,36
25.938,49.75,21.75,39.125,64.5,30,64.125,19.5,41.125,35.75
25.563,49.375,21.25,39,63.875,29.875,63.5,19.625,40.75,35.125
25.172,49.125,21.125,38.75,63,29.5,63.75,19.75,41,35
26.109,49.625,21.5,39.125,62.25,29.75,64.75,19.875,41.75,35.375
26.063,49.625,21.25,39.25,63,29.5,64.5,19.875,42.125,35.25
26.219,49.75,21.125,39.375,62.625,29.25,64.875,19.875,42.125,35.375
26.5,49.75,21.375,39.625,62.5,29.625,65.5,20.125,42.75,36.375
26.438,49.25,22.5,39.5,62.875,29.5,65.75,20.125,42,36.625
26.219,49.5,22.25,39,62,29.875,66,20.375,42.25,36.75
25.938,49.75,21.875,39.125,61,29.5,64.5,19.875,42.25,36.25
26.438,51.75,22.125,40,62.875,30,65.25,20.875,42.125,36.75
26.438,51.375,22.125,40.125,64,30,65.875,21,41.875,36.625
26.563,51.5,22.125,40.625,64,29.875,66.375,20.875,41.625,36.5
26.672,51.5,22.125,40.625,64.375,29.875,66.875,21,42.125,35.75
26.828,51.5,22,40.25,63.75,30.375,67.375,20.75,42.75,36.5
27,51.25,22,40.375,63.875,30.25,69,20.625,42.75,37.125
27.672,51.375,22.125,40.625,64.125,30.25,68.75,20.375,42.75,37.75
27.781,51.375,22.125,41,64.875,30.375,68.75,20.25,43.75,37.875
27.563,51,22,40.625,64.625,30.25,68.5,20,43.5,37.5
27.328,51.25,21.875,40.625,65.25,30.25,69.625,21.125,43.875,38.375
27.281,50.75,21.875,40.625,64.625,30,70.5,21,43.375,37.875
27.109,50.625,21.875,40.375,64.75,30.625,70.125,21.375,43.625,38.375
27.063,50.75,21.75,40.625,65,30.25,70,21.375,43.75,38.375
26.781,50.75,21.625,40.5,65.875,30.375,69.375,21.375,43.875,39.25
27.281,50.375,21,40.875,66.375,30.375,69.5,21.625,44.25,38.875
27.563,50.125,21.25,41,66.875,30.375,69.625,21.625,44.25,39.375
27.438,50.25,21.75,41.5,67,30.25,69.375,21.75,44.25,39.625
27.672,50.25,21.5,41.875,67.75,30.25,69.625,21.875,44.25,39.625
28.281,50,21.625,42.125,69,30.875,70.375,21.75,44.375,40.125
28.5,50.5,21.625,42.875,69.625,30.875,71.5,22.25,44.625,39.875
28.172,50.625,21.5,42.5,70.125,31.625,71.375,22.375,46,40
28.328,50.5,21.75,41.625,71.375,31.5,71.5,21.875,45.75,41
28.563,50.625,22.25,42,72,31.625,71.625,22,46.375,41.25
28.5,50.375,22.75,42.125,72.25,31.5,72.25,21.875,46.5,41.375
29.219,50.75,22.875,42.75,74,32.625,73.75,22.625,47.625,41.875
29.391,51.125,22.625,43.125,74.5,32.625,73.5,23,46.75,41.875
29.328,51.625,22.75,43,74,33.125,73.25,22.5,46.5,41.5
28.672,50.75,22.375,42.125,73,32.875,73,21.875,45.625,40.375
28.609,50.75,22.375,42.625,73.25,32.875,72.875,21.875,45.875,40.75
28.891,50.75,22.25,42.75,73.25,32.875,72.25,21.5,45.875,40.875
29.109,51.25,22.875,42.75,72.5,32.75,72.125,21.75,47,41.5
29.781,51.375,22.625,43,74.5,32.875,72.75,22,45.25,41.75
29.5,51.25,22.25,42.25,75.375,32.75,71.875,21,45,41.5
30,51.75,22.25,43.375,77.375,33.125,73.875,22.25,45.75,42.25
29.781,53.375,22.5,44,77.875,33.25,73.25,22.5,46,42.125
29.563,52.875,22.375,43,77.875,32.875,72.875,21.75,45,42.25
29.281,52.625,22.25,43.75,77,33,73,21.625,45.125,42.25
29.172,52.625,22.125,43.875,75.75,33.125,73,21.375,44.75,42.125
28.828,52,22.75,43.75,75,33.125,72.25,20.375,44.125,41.125
28.781,52.875,22.625,44.125,75.75,33.375,72.5,21,44,41.5
28.828,53.5,23.25,44.375,76.375,34.375,72,21.75,44,41.625
28.828,54.25,23.625,44.375,77.25,35,71.625,22,44.875,41.625
28.328,54.25,23,43.625,78.375,35.25,72.125,21.625,44.25,41.875
28.891,54,23.125,43.625,79,35.125,72.125,21.625,44,41.25
28.5,53.125,22.75,43.375,78.5,34.625,71,21.25,43,41
28.328,52.625,22.5,42.875,78.125,34.5,70.5,20.625,42.25,40.875
28.438,52.75,22.375,43.125,78,35,70.375,20.875,43,40.625
28.219,52.125,21.375,43.375,77.75,35.125,69.625,19.875,42.75,40.375
28.063,52.125,21.375,43.375,77.75,34.875,70,20.125,42.5,39.875
27.391,51.125,20.75,42.5,76.5,33,68,18.875,40.75,39.125
27.172,51.25,20.75,42.375,76.5,32.75,68.5,19.625,41.125,38.5
27.391,51,21,41.875,76.75,33.125,68.75,19.5,41.25,38.875
27.063,50.25,20.25,41.625,76,32.75,68.25,18.875,41.25,38.375
27.5,49.875,20.125,41.375,76.5,32.5,68.75,19.25,41.625,38.625
27.672,50.125,20.375,41.375,75.75,32.75,69.375,19.625,41.75,39.375
27.5,50.25,20.625,41.5,76.125,32.875,69.125,19.875,42.375,39
27.5,50.5,21,41.75,75.875,33,69.5,19.75,42.125,39.75
27.891,50.125,21.125,41.75,76,32.75,69.375,19.875,41.375,39.875
27.563,50.125,20.875,40.75,75.75,31.875,69.25,19.375,41.25,39.25
27.063,50.125,20.5,41.625,75.375,32.25,69.25,19.625,41.75,39.625
27.438,50,20.5,41.5,75.375,32.5,71.5,19.875,42.125,40.125
27.563,50.5,21,41.875,76.875,32.5,70.875,20.5,42.25,40.125
27.438,49.875,21.125,42.125,77.25,31.875,70.25,20.375,42.25,39.875
27.719,49.375,21,41.75,77.375,31.75,70.5,20.25,41.625,39.625
28.5,50.125,21.25,42,77.875,31.875,70.25,20.75,42,40
28.281,50.875,21.25,41.875,78,31.625,70.75,21,42.75,40.625
28.063,50.125,21.125,40.625,77.375,30.75,71.625,21.125,43,40.625
27.891,50,20.75,40,76.625,29,71,20.75,42.875,39.875
27.891,50.375,20.75,39.875,76.5,29.125,71,20.5,42.125,40
27.563,50.375,20.875,39.875,76.875,28.5,71,20.625,42,40.625
27.391,50.625,20.5,40.125,76.75,28.875,71,21.125,41.5,40.25
27.391,50.5,20.625,40.25,76.5,28.75,70.75,21,41.875,40
27.328,51,20.25,39.75,76.625,28.25,70.375,20.875,42.625,40.25
27.172,51,20.375,40,76.25,28.5,70.125,20.875,43.75,41
27.172,50.875,20.125,40.375,76,27.25,69.75,21.5,43.375,41.125
26.719,50.75,19.875,40,76.125,26.5,69.625,21.5,42.25,40.625
26,50.5,19.375,39.75,74.75,25.75,69.875,21,41.625,40.625
26.281,50.75,19.5,39.5,75,25.625,68.875,20.625,41,40.5
26.563,50.875,19.5,39.75,74.875,25.5,68.375,21.125,41.375,40.125
26.172,50.75,19.375,40,74.5,25.75,68.375,21,41.125,40.375
26.563,50.25,19.625,40,75.125,26.25,68,21.625,41.25,40.75
27.109,50.375,20,40.5,75.375,27,68,22,41.75,41.375
26.938,50.75,19.75,40.5,75.25,27.75,67,21.75,41.625,41.125
26.5,50.625,19.625,39.625,75.25,27.75,66.75,21.875,41.5,40.125
26.609,50.875,20.125,40.25,76.75,28,67.5,22,42.25,41
26.719,50.875,20.125,40.75,77.125,27.875,67.375,21.625,42.25,41.25
27,50.875,20.125,40.875,77.375,28.25,67.75,21.625,42.375,41.5
26.672,52,19.875,40.875,77.625,28.25,67,20.875,43,41.25
26.5,51.625,20.125,40.5,78,28.125,66.375,21.125,42,41.125
26.719,51.375,20,40.5,78.875,28.375,66.375,21.375,42.5,41.25
27.328,50.25,19.75,40.75,79.5,28.125,67.125,21.75,42.25,41.5
27.172,50.875,19.75,40.625,79.375,27.125,67.5,21.875,42.5,41.75
27.172,51.375,19.875,40.375,80,26.625,67.125,21.625,41.75,41.375
26.891,51.125,19.875,40,79.75,26.5,67,22,42.375,41.25
27.281,51.25,20,40,81,26.375,67.25,21.875,42.5,42
27.219,51.25,20,40.375,82.5,26.25,66.875,21.75,42.75,42.75
26.609,50.875,20.125,40.25,82.25,26.5,67.125,21.625,42.5,43.875
26,50.25,19.875,40.125,82.375,26.125,66.875,21.25,42.875,43.625
26.438,50.25,20.125,40.625,83.5,26.75,67.5,21.75,43.625,43.875
27.172,50.125,20,41.125,84,26.25,68.75,21.5,44,44.125
28,49.875,19.875,42.25,84.625,26.125,70.25,21.625,44,44.125
28.109,50.875,20,42.625,86,26.5,70.5,21.625,44.125,44.875
27.938,51.25,20.125,42.5,85.625,26.75,70.5,21.625,44.375,45.25
28.172,51.25,20.25,42.25,86.375,26.625,71.5,22,44.5,44.125
28.391,50,20.375,42.25,86.875,27,71.75,22.125,44.375,44.125
28.219,51,20.5,42,86.75,27.375,71,22.125,44.375,44.25
28.281,50.875,20.125,41.75,87,27.75,71.25,22,44.625,44.75
28.109,51,19.875,42.125,88.125,27.875,71.125,22.5,45.125,45
28.281,51.5,20.125,43.625,89,28,71.25,22.875,45.875,44.25
28.063,51.5,20.25,44.375,91.25,27.75,71.125,22.25,44.75,45.25
27.891,50.75,20,44.125,90,27.5,70.75,21.75,45.5,45.625
27.781,50.125,20,43.25,88.875,27,69.875,22,45,44.75
27.5,50.375,20.125,43.375,88.75,27.375,68.75,22,45.25,43.5
27.781,49.875,20,43.875,89,27.375,68.25,21.75,45.125,43.875
27.719,49.75,20,43.875,89.125,26.875,68.375,22,45,44.25
27.609,50.5,20.125,43.75,89.625,27.375,68.5,22,44.875,44.375
27.938,50.625,20,44.125,90.25,28.125,68.375,22.25,45.625,44.5
28.281,50.875,20,43.75,89.75,27.625,68,22.375,45.375,44.625
27.781,50.625,20,43,88.375,27.5,67.75,21.625,45.125,44.25
27.781,50.625,20,43,88.625,27.75,67.375,21.375,45.25,44.125
27.172,50.25,20,42,86.75,27.5,66.625,21,44.875,43.375
27.109,50.75,20.125,42.375,86.375,27.75,66.5,21.125,44.375,42.75
27.5,50.75,20.25,43.125,87.375,28,67.25,21.5,44.75,43.75
27.563,50.375,20.5,42.625,87.375,28,66.25,21.25,44.5,43.5
28.219,50.875,20.625,43.375,88.5,28.375,66.75,22,44.75,43.875
28.938,50.75,20.75,44.25,88.75,28.5,68,22.125,45,43.75
29.063,50.75,21.625,43.875,90,29.25,69.375,22.875,45.375,44.5
29.063,50.875,21.375,43.875,89.75,29.125,68.625,22.25,45.25,44.875
28.891,53.25,21.5,44.125,89.5,29.625,68.25,22,45.125,45.375
28.938,52.875,21.625,44.625,89.75,29.375,68,21.875,44.75,44.875
29.563,52.75,21.5,44.875,90,29,67.875,21.625,44.625,44.375
29.719,53,21.75,45.75,90.75,29,68,22.125,45.125,45
29.781,53,21.625,45.5,91.25,28.5,68,21.875,44.875,44.875
30.281,53.5,21.75,45.875,92.25,28,68.625,22,44.875,45
30.781,54,22.125,45.875,92.625,28.125,69,22.5,45.25,45.25
30.109,53.375,21.5,44.875,89.375,27.5,67.5,22.25,44.125,44.5
29.391,53.125,21.5,45,89.5,27.125,66.75,21.5,44,43.75
29.328,53.375,21.625,45.125,90.375,27.25,66.125,21.5,43.75,43.625
29.109,53.75,21.875,45.375,90.75,27.5,66.125,21.5,43.5,43.5
28.891,53.5,22,45.125,90.875,27,66,21.125,42.75,43
28.828,53.625,21.875,45,90.375,26.75,66.375,21,43.375,43.5
29.781,54,21.75,45.375,90.25,26.75,66.875,21,43.75,44.25
29.938,53.625,22,45,91.125,27.125,67,20.875,44,44.5
30.219,53.75,22.375,45.625,92.5,27,67.375,22,44.125,45
30.328,54.25,22,45.5,91.875,27.5,68.625,22.25,44.5,45.5
30.063,54.25,21.875,45.25,91.625,27.625,69,22,45.125,46.5
30.5,53.875,21.375,44.625,91.875,27.25,69,22,45.125,46.5
30.891,53.5,21.25,45,91.625,27.625,67.875,21.75,44.875,46.625
30.781,53.25,20.875,45,91.75,27.5,67.75,21.375,44.75,46.375
30.719,53.75,21.125,45,91.125,28,67.875,21.875,44.5,46.5
30.781,54,20.75,45.125,91.25,28.125,67.875,21.625,44.125,46.375
31.063,54.5,21,45.125,91.375,28.5,67.75,21.5,44.375,46.75
31.172,55,21.375,45.125,92.5,27.75,67.625,21.875,44.75,46.5
30.938,54.375,21,44.75,92.5,27.375,67,21.5,44.375,45.75
31.781,55,21.375,45.625,92,27.75,67.625,22,45.25,46.375
31.891,55.125,21.25,45.75,93,27.5,67.375,21.875,45,46.125
32.5,56,21.25,46.375,94.125,27.625,68,22,44.875,47.375
32.563,56.375,20.875,46.375,93.875,26.875,68.625,22,45,47.625
32.328,56.5,21,46.125,93.75,27.125,68.875,22.125,44.875,48.375
32.438,56.875,21.25,45.5,88.125,27.375,68.625,22.5,45.125,48.625
32.219,56.375,20.75,45.75,85.125,27.375,68.75,22.125,45.25,48.25
32.109,56.625,20.625,45.25,85.875,26.75,69,22,45.25,48.125
32.891,56.375,20.25,45.25,84.125,26.625,69.375,21.875,45.25,48.875
33.672,56.25,20.625,45.875,84.375,26.75,69.875,21.75,45.125,52.375
33.719,55.875,20.5,45.25,84.75,26.875,69.875,22.125,44.875,52
34.281,56.75,20.625,45.25,84.5,27.125,69.625,22.125,44.75,51.375
34.828,56.875,20.75,45.125,83.5,26.75,69.875,22,44.125,51.5
34.563,56.625,20.625,45,82,26.75,70,22.25,44.25,51
34,56,20.5,44.875,80.625,26.625,69.625,22,44.75,50.5
34.063,56.875,20.625,44,80.375,26.75,70.125,22,44.75,50.625
33.719,57,20.375,43.75,78.75,26.25,68.875,21.875,43.875,50
33.609,56.375,20.625,43.875,78.75,26.375,68.375,21.875,43.25,50.25
33.5,56.25,20.75,43.5,78.625,26.25,68.375,21.875,42.875,50
34.5,56.25,20.625,43.625,79.125,26.25,68.375,21.875,42.875,50.375
35.563,56.5,20.875,44.125,79.375,26.375,68.875,22.125,43.5,51.625
36.281,56.5,20.875,45.125,78.875,26.25,69.25,22.25,44,52.5
36.609,56.75,20.875,45.625,78.625,26.125,69.625,22.25,43.75,51.5
35.938,57,21,45.875,78.75,26.875,70.125,22,44,51.75
35.781,57.25,21.125,46.125,78.875,26.125,70.75,22,44.25,51.625
35.719,57.75,21.25,46,79,26.125,71.125,22.125,45,51.5
35.563,57.75,21.375,46.5,78.75,26,71.375,22.375,45.625,51.625
35.063,57.75,21.5,45.875,78.625,25.875,71.125,22.125,45.75,51.5
35.172,58,21.875,46,80.125,25.875,71.75,22.25,46.25,51.375
35.219,58.25,22,45.625,80.5,25.875,71.625,22.375,45.75,51.25
35.563,58.5,22.375,46,80.25,25.375,71.75,22.375,45.875,51.625
36,57.625,22,45.5,79.5,25.125,71.375,22.25,44.75,51.25
35.719,57.375,22.25,45.5,79.625,24.75,71.25,22.375,45.5,51.375
35.563,57.5,22.5,45.25,79.75,25,71.25,22.375,45,51.25
35,58.25,22.375,45.125,79.375,25.375,71.375,22,46,51.125
33.609,57.125,22,44.875,78.875,25.25,72,21.875,45.125,50
34.109,57,21.75,45,78.75,24.625,72.5,22,44.875,50
34.438,57.625,21.875,45,78.75,25.125,72.5,22,45.125,50.375
