% The Computer Activity databases are a collection of computer systems
% activity measures. The data was collected from a Sun Sparcstation
% 20/712 with 128 Mbytes of memory running in a multi-user university
% department. Users would typically be doing a large variety of tasks
% ranging from accessing the internet, editing files or running very
% cpu-bound programs.  The data was collected continuously on two
% separate occasions. On both occassions, system activity was gathered
% every 5 seconds. The final dataset is taken from both occasions with
% equal numbers of observations coming from each collection epoch.
% 
% System measures used:
% 1. lread - Reads (transfers per second ) between system memory and user memory.
% 2. lwrite - writes (transfers per second) between system memory and user memory.
% 3. scall - Number of system calls of all types per second.
% 4. sread - Number of system read calls per second.
% 5. swrite - Number of system write calls per second . 
% 6. fork - Number of system fork calls per second. 
% 7. exec - Number of system exec calls per second. 
% 8. rchar - Number of characters transferred per second by system read calls.
% 9. wchar - Number of characters transfreed per second by system write calls. 
% 10. pgout - Number of page out requests per second.
% 11. ppgout - Number of pages, paged out per second. 
% 12. pgfree - Number of pages per second placed on the free list. 
% 13. pgscan - Number of pages checked if they can be freed per second.
% 14. atch - Number of page attaches (satisfying a page fault by reclaiming a page in memory) per second.
% 15. pgin - Number of page-in requests per second.
% 16. ppgin - Number of pages paged in per second.
% 17. pflt - Number of page faults caused by protection errors (copy-on-writes). 
% 18. vflt - Number of page faults caused by address translation. 
% 19. runqsz - Process run queue size.
% 20. freemem - Number of memory pages available to user processes.
% 21. freeswap - Number of disk blocks available for page swapping. 
% 22. usr - Portion of time (%) that cpus run in user mode.
% 23. sys - Portion of time (%) that cpus run in system mode.
% 24. wio - Portion of time (%) that cpus are idle waiting for block IO.
% 25. idle - Portion of time (%) that cpus are otherwise idle.
% 
% The two different regression tasks obtained from these databases are:
% 
% CompAct 
% Predict usr, the portion of time that cpus run in user mode from all attributes 1-21.
% 
% CompAct(s) 
% Predict usr using a restricted number (excluding the paging information (10-18)
% 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Original source: DELVE repository of data. 
% Characteristics: 8192 cases, 22 continuous attributes

@relation cpu_act

@attribute lread numeric
@attribute lwrite numeric
@attribute scall numeric
@attribute sread numeric
@attribute swrite numeric
@attribute fork numeric
@attribute exec numeric
@attribute rchar numeric
@attribute wchar numeric
@attribute pgout numeric
@attribute ppgout numeric
@attribute pgfree numeric
@attribute pgscan numeric
@attribute atch numeric
@attribute pgin numeric
@attribute ppgin numeric
@attribute pflt numeric
@attribute vflt numeric
@attribute runqsz numeric
@attribute freemem numeric
@attribute freeswap numeric
@attribute usr numeric

@data
37, 49, 4667, 673, 457, 2.60, 0.80, 262181, 220110, 0.20, 4.00, 6.60, 9.20, 0.20, 3.40, 3.40, 130.80, 212.80, 1.4, 287, 1073834, 81
13, 12, 2859, 459, 215, 0.60, 2.00, 652144, 585464, 0.60, 0.60, 0.60, 0.00, 1.00, 5.00, 5.40, 28.60, 89.40, 3.2, 220, 1043795, 91
24, 32, 419, 41, 27, 2.00, 2.00, 91694, 34919, 0.00, 0.00, 0.00, 0.00, 0.00, 2.20, 3.40, 181.20, 160.40, 1.2, 3733, 1819309, 83
67, 90, 1850, 131, 61, 1.20, 2.20, 40316, 23559, 0.00, 0.00, 0.00, 0.00, 0.00, 3.20, 5.20, 78.60, 116.80, 1.3, 694, 1020261, 90
15, 5, 1795, 343, 209, 1.00, 1.00, 91247, 93705, 4.20, 24.20, 74.80, 145.20, 1.60, 11.20, 18.40, 69.60, 119.80, 2.0, 112, 1527192, 88
4, 0, 1969, 209, 200, 2.40, 0.80, 131479, 48942, 0.00, 0.00, 0.00, 0.00, 0.20, 0.80, 1.40, 125.05, 179.36, 1.3, 1126, 1053153, 89
10, 4, 3734, 212, 168, 1.20, 1.00, 197813, 112160, 0.00, 0.00, 0.00, 0.00, 5.99, 17.37, 19.56, 106.99, 142.12, 2.0, 1446, 1110237, 87
11, 6, 4515, 185, 165, 3.79, 4.99, 85634, 65019, 0.00, 0.00, 0.00, 0.00, 0.00, 0.40, 0.60, 276.25, 316.17, 4.4, 890, 1537031, 76
5, 4, 1568, 68, 102, 0.20, 0.20, 42053, 30000, 3.20, 4.20, 3.20, 0.00, 1.20, 7.60, 12.40, 15.20, 102.20, 1.5, 313, 1016542, 92
8, 3, 3942, 702, 244, 1.00, 0.80, 463837, 166875, 5.20, 21.20, 43.00, 66.80, 0.60, 20.20, 29.40, 75.20, 237.00, 6.6, 159, 1295243, 83
2, 0, 457, 48, 37, 2.00, 2.00, 65518, 74456, 0.00, 0.00, 0.00, 0.00, 0.00, 3.00, 5.00, 187.40, 160.20, 1.0, 6493, 1851952, 90
5, 0, 3300, 395, 219, 2.00, 0.80, 133693, 89066, 0.00, 0.00, 0.00, 0.00, 0.00, 1.80, 2.40, 112.40, 177.40, 4.8, 2230, 1555064, 89
0, 0, 408, 62, 45, 0.20, 0.20, 1635, 17161, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.60, 16.80, 3.0, 626, 1711344, 98
1, 0, 2596, 211, 195, 0.20, 0.20, 299110, 67609, 8.20, 14.40, 12.60, 0.00, 0.80, 1.20, 2.00, 16.00, 23.20, 2.8, 266, 1715549, 90
1, 1, 963, 90, 62, 0.60, 0.60, 91754, 14319, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28.20, 38.80, 2.2, 3125, 1707618, 96
6, 5, 1860, 128, 103, 0.60, 0.80, 118921, 56765, 19.40, 23.20, 23.20, 0.00, 15.60, 2.40, 3.40, 55.60, 90.40, 2.2, 238, 982450, 92
3, 2, 1710, 131, 122, 0.60, 1.00, 68306, 103547, 0.00, 0.00, 0.00, 0.00, 0.00, 2.80, 4.20, 51.80, 89.80, 3.2, 493, 1063110, 91
5, 0, 4901, 508, 330, 2.00, 0.60, 165967, 155044, 0.00, 0.00, 0.00, 0.00, 0.00, 0.40, 0.40, 96.60, 146.40, 2.8, 2560, 1646453, 87
13, 8, 4349, 300, 191, 2.80, 3.00, 96009, 70467, 0.00, 0.00, 0.00, 0.00, 0.00, 2.80, 3.20, 129.00, 236.80, 2.2, 772, 993909, 83
622, 543, 5572, 480, 297, 1.20, 3.80, 166930, 128473, 0.00, 0.00, 0.00, 0.00, 0.00, 12.20, 14.60, 73.80, 197.60, 3.0, 527, 1061819, 73
28, 23, 6465, 408, 177, 4.20, 5.00, 454491, 41075, 0.40, 0.60, 0.60, 0.00, 0.20, 1.80, 4.40, 285.60, 460.40, 2.8, 437, 999322, 72
12, 10, 1783, 102, 78, 1.40, 0.80, 118290, 25482, 0.00, 0.00, 0.00, 0.00, 0.00, 4.00, 5.20, 122.20, 136.20, 3.2, 512, 989838, 90
8, 2, 3309, 503, 365, 4.17, 2.78, 827279, 223918, 0.00, 0.00, 0.00, 0.00, 0.00, 2.39, 2.39, 222.66, 334.39, 2.0, 747, 1112439, 81
2, 1, 253, 22, 24, 0.80, 0.80, 34552, 22677, 0.00, 0.00, 0.00, 0.00, 0.00, 2.20, 4.40, 56.40, 63.60, 1.2, 7091, 1846198, 96
1, 0, 1276, 29, 31, 0.60, 4.20, 47728, 9473, 0.00, 0.00, 0.00, 0.00, 0.00, 0.60, 0.80, 28.00, 46.60, 2.2, 4590, 1829136, 97
57, 55, 1123, 107, 79, 0.20, 0.20, 20746, 36718, 0.00, 0.00, 0.00, 0.00, 0.00, 1.40, 8.20, 23.40, 34.00, 1.4, 941, 972674, 93
22, 15, 4679, 409, 258, 2.40, 3.20, 542748, 293954, 0.00, 0.00, 0.00, 0.00, 0.00, 8.20, 13.60, 145.00, 241.00, 3.8, 876, 1343698, 82
38, 30, 5991, 289, 193, 5.80, 6.00, 401075, 205417, 4.40, 9.00, 15.80, 21.00, 6.20, 6.20, 9.40, 344.40, 664.60, 2.3, 213, 1015771, 71
26, 2, 5404, 475, 246, 6.20, 16.40, 328399, 196650, 5.40, 32.60, 78.20, 149.20, 0.20, 27.80, 45.80, 222.00, 438.20, 3.8, 122, 1091184, 67
5, 3, 3786, 167, 149, 1.20, 1.20, 172744, 161033, 0.00, 0.00, 0.00, 0.00, 1.80, 4.60, 4.60, 105.20, 171.00, 1.0, 700, 986394, 87
32, 42, 2331, 242, 212, 4.00, 1.60, 158546, 34270, 2.40, 2.40, 2.40, 0.00, 3.00, 1.20, 1.60, 218.00, 339.00, 1.0, 205, 1023574, 83
1, 0, 1816, 155, 99, 0.80, 1.00, 44286, 56277, 0.00, 0.00, 0.00, 0.00, 0.00, 5.39, 5.99, 67.66, 82.04, 1.0, 1259, 1048148, 90
2, 0, 4228, 206, 186, 1.80, 0.60, 84452, 45749, 0.00, 0.00, 0.00, 0.00, 0.00, 0.20, 0.20, 96.00, 135.00, 2.2, 600, 1740986, 86
2, 1, 986, 73, 54, 0.20, 0.20, 5562, 23881, 0.60, 0.60, 0.60, 0.00, 0.40, 2.60, 2.60, 12.80, 43.80, 2.3, 217, 1013784, 96
0, 0, 255, 32, 32, 0.20, 0.20, 1430, 7410, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.60, 16.80, 1.6, 1196, 1767021, 91
40, 11, 3402, 283, 202, 2.80, 4.20, 225184, 28672, 0.00, 0.00, 0.00, 0.00, 0.00, 1.20, 3.40, 157.40, 279.20, 1.0, 1025, 1092723, 86
55, 0, 4652, 302, 223, 16.17, 36.93, 180995, 29681, 3.39, 9.98, 22.16, 42.51, 0.00, 21.16, 25.55, 628.74, 1134.53, 1.0, 187, 1102798, 52
14, 4, 1575, 358, 236, 2.20, 1.80, 468846, 173574, 2.40, 2.80, 2.40, 0.00, 0.80, 5.40, 8.40, 143.00, 268.00, 1.0, 362, 1070280, 88
1, 0, 928, 115, 89, 0.40, 1.40, 4969, 17251, 0.00, 0.00, 0.00, 0.00, 0.20, 9.38, 9.58, 26.35, 54.09, 5.0, 889, 1063856, 95
7, 1, 2319, 207, 94, 0.60, 1.20, 1132227, 33317, 31.40, 99.60, 270.20, 584.40, 1.20, 114.60, 244.60, 60.40, 157.20, 2.8, 98, 984424, 76
2, 1, 2133, 134, 90, 0.80, 1.00, 100812, 83681, 0.00, 0.00, 0.00, 0.00, 1.20, 12.38, 21.76, 51.90, 126.75, 1.8, 405, 987278, 89
1, 0, 1372, 66, 41, 0.20, 0.20, 17950, 17530, 0.00, 0.00, 0.00, 0.00, 0.00, 0.20, 0.40, 66.20, 30.00, 1.4, 986, 1066130, 94
9, 8, 470, 129, 81, 0.20, 0.20, 291365, 51259, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.60, 28.80, 1.2, 1302, 1760490, 96
32, 26, 3205, 350, 245, 1.00, 1.40, 109372, 69986, 4.20, 10.40, 21.80, 29.80, 1.60, 5.80, 6.40, 80.60, 209.40, 2.6, 405, 1315331, 80
25, 0, 3346, 198, 131, 6.21, 18.04, 211729, 48291, 2.40, 20.64, 48.70, 193.99, 0.00, 23.05, 35.47, 207.82, 405.61, 2.7, 133, 1099542, 76
16, 14, 1363, 121, 82, 0.80, 0.60, 321356, 183286, 0.00, 0.00, 0.00, 0.00, 0.60, 0.40, 0.40, 71.20, 58.00, 3.2, 753, 1511563, 87
0, 0, 431, 39, 72, 0.80, 0.60, 13226, 49176, 0.40, 3.01, 7.21, 15.03, 0.00, 0.60, 0.60, 37.47, 44.89, 1.0, 172, 1746309, 97
0, 0, 183, 38, 21, 0.20, 0.20, 255771, 228527, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 12.80, 16.80, 2.8, 3652, 1819990, 97
13, 21, 324, 19, 14, 0.20, 0.20, 644, 4682, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.97, 17.56, 1.8, 1230, 1750204, 91
2, 0, 1240, 87, 83, 0.40, 0.60, 21455, 50048, 0.60, 0.80, 0.80, 0.00, 0.00, 3.99, 6.39, 75.45, 104.99, 679, 93, 7, 0
13, 3, 1651, 78, 60, 0.80, 3.00, 56684, 21286, 0.00, 0.00, 0.00, 0.00, 0.60, 1.40, 1.40, 64.40, 157.80, 1.0, 590, 1032789, 91
33, 43, 1613, 161, 110, 0.20, 0.20, 11850, 28651, 2.00, 2.80, 2.40, 0.00, 1.40, 4.00, 4.80, 18.20, 120.40, 1.0, 253, 1021384, 92
9, 1, 3326, 383, 177, 6.20, 19.20, 34844, 28865, 6.00, 26.60, 31.80, 46.80, 0.40, 9.00, 10.80, 214.60, 442.00, 1.5, 188, 1103072, 76
41, 32, 5200, 185, 121, 2.79, 7.19, 59209, 63458, 6.19, 7.78, 7.78, 0.00, 3.59, 0.00, 0.00, 179.64, 217.76, 2.4, 209, 1623562, 80
2, 1, 174, 11, 24, 0.20, 0.20, 10271, 8797, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.60, 16.80, 1.0, 6442, 1871299, 99
2, 0, 534, 75, 53, 2.20, 2.20, 57506, 28455, 0.40, 0.40, 0.40, 0.00, 0.00, 0.80, 0.80, 170.60, 157.60, 1.2, 359, 1813328, 85
31, 38, 1145, 143, 124, 3.19, 1.00, 81774, 6003, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 160.08, 226.35, 1.6, 7313, 1860552, 92
0, 0, 159, 15, 16, 0.20, 0.20, 454, 5323, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.57, 16.77, 1.0, 7226, 1859904, 99
8, 0, 2956, 409, 371, 3.60, 3.00, 254532, 197621, 0.00, 0.00, 0.00, 0.00, 0.00, 0.60, 1.00, 176.60, 240.00, 2.8, 5037, 1672027, 86
2, 1, 3735, 279, 143, 0.40, 1.00, 387812, 214397, 0.00, 0.00, 0.00, 0.00, 0.00, 6.20, 12.00, 31.40, 86.20, 4.0, 3768, 1333251, 90
11, 4, 3794, 340, 304, 4.00, 2.20, 174498, 141499, 0.60, 1.00, 0.80, 0.00, 2.40, 26.40, 26.80, 192.00, 427.40, 1.2, 466, 1079363, 80
56, 62, 1929, 146, 97, 1.80, 3.60, 319479, 97895, 8.60, 16.80, 19.00, 6.00, 0.40, 17.60, 21.20, 130.80, 229.80, 1.8, 553, 1085286, 82
2, 2, 1424, 133, 101, 0.20, 0.20, 210413, 16994, 0.00, 0.00, 0.00, 0.00, 0.00, 2.00, 3.20, 16.20, 28.80, 2.0, 342, 979099, 95
23, 32, 3355, 234, 111, 1.20, 3.00, 155241, 126756, 0.00, 0.00, 0.00, 0.00, 0.00, 2.00, 2.00, 122.80, 119.80, 5.4, 4018, 1606019, 88
0, 0, 393, 162, 57, 0.20, 0.20, 210929, 207090, 0.00, 0.00, 0.00, 0.00, 0.00, 0.60, 0.60, 15.60, 16.80, 2.4, 1323, 1745669, 97
17, 9, 1048, 124, 69, 1.00, 1.40, 683931, 188394, 21.36, 78.24, 113.57, 227.15, 2.20, 25.15, 49.10, 122.16, 249.90, 1.0, 309, 1051283, 76
1, 0, 958, 117, 45, 0.60, 0.60, 215753, 27639, 0.00, 0.00, 0.00, 0.00, 0.00, 2.80, 5.60, 39.80, 43.40, 2.0, 6280, 1845344, 96
3, 3, 1941, 427, 173, 0.80, 0.80, 658879, 844732, 0.00, 0.00, 0.00, 0.00, 0.20, 0.60, 1.20, 49.20, 69.00, 1.8, 635, 1045738, 88
7, 0, 3758, 508, 978, 5.80, 1.60, 233257, 87134, 0.00, 0.00, 0.00, 0.00, 0.00, 7.40, 14.20, 273.20, 418.60, 4.2, 981, 1705043, 79
1, 1, 857, 90, 44, 0.20, 0.20, 46735, 82746, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.54, 16.73, 1.0, 6709, 1818845, 96
40, 54, 844, 28, 33, 0.20, 0.20, 817, 11451, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.60, 16.80, 2.0, 4707, 1727696, 96
0, 0, 222, 30, 22, 0.20, 0.20, 84896, 5119, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 22.36, 17.17, 1.6, 7302, 1860350, 97
4, 0, 2921, 248, 205, 3.80, 1.40, 140416, 21712, 3.00, 5.00, 5.00, 0.00, 0.40, 1.00, 1.40, 208.80, 328.60, 3.0, 177, 1437750, 86
6, 4, 2573, 189, 118, 0.60, 0.60, 107287, 30575, 0.00, 0.00, 0.00, 0.00, 0.00, 11.40, 13.00, 31.40, 173.40, 1.4, 1107, 975696, 90
16, 14, 2131, 116, 84, 0.80, 1.20, 26886, 41641, 0.00, 0.00, 0.00, 0.00, 0.20, 18.00, 18.20, 140.60, 132.60, 3.0, 793, 990656, 90
30, 13, 3962, 617, 514, 4.20, 1.20, 326797, 265654, 2.20, 11.40, 17.40, 42.00, 0.60, 10.00, 17.80, 221.20, 394.40, 1.2, 191, 1082230, 79
9, 2, 3750, 280, 226, 1.20, 4.00, 194798, 362338, 4.40, 8.40, 11.80, 21.40, 3.80, 7.00, 26.20, 83.60, 188.60, 2.8, 402, 984866, 79
37, 4, 3499, 388, 117, 4.19, 5.99, 288035, 14367, 0.00, 0.00, 0.00, 0.00, 0.00, 19.76, 34.93, 289.62, 526.95, 4.2, 766, 1305325, 80
60, 71, 2647, 289, 300, 1.00, 3.20, 32797, 37359, 0.00, 0.00, 0.00, 0.00, 0.00, 17.20, 17.40, 58.00, 100.60, 1.0, 505, 1101470, 88
6, 3, 1005, 63, 60, 0.20, 0.20, 134728, 76858, 0.00, 0.00, 0.00, 0.00, 0.00, 5.60, 5.60, 33.40, 52.20, 2.2, 1789, 1525715, 93
10, 10, 3224, 222, 100, 0.60, 0.60, 95098, 46440, 3.99, 5.59, 4.99, 0.00, 1.40, 1.20, 3.79, 27.54, 53.89, 1.5, 211, 996805, 89
15, 1, 643, 60, 19, 1.20, 1.40, 361682, 5234, 0.00, 0.00, 0.00, 0.00, 0.00, 16.20, 31.00, 96.60, 147.40, 2.2, 7005, 1876323, 93
8, 3, 4100, 391, 383, 1.20, 1.60, 259796, 75883, 0.00, 0.00, 0.00, 0.00, 0.00, 28.40, 55.40, 100.00, 96.60, 2.8, 2054, 1551126, 84
68, 77, 2774, 217, 152, 3.61, 6.21, 180351, 57275, 1.80, 3.81, 3.81, 0.00, 1.20, 4.61, 8.22, 236.07, 415.83, 2.7, 324, 1055946, 82
3, 0, 583, 53, 68, 2.60, 3.20, 62950, 258017, 34.00, 62.60, 60.60, 0.00, 0.40, 2.40, 2.80, 207.60, 204.80, 1.8, 270, 1807019, 81
132, 105, 2007, 177, 139, 0.40, 0.40, 95309, 82017, 0.00, 0.00, 0.00, 0.00, 0.00, 1.20, 1.20, 35.20, 56.60, 1.0, 794, 1008800, 91
10, 6, 3249, 555, 526, 2.39, 4.38, 469560, 380797, 0.00, 0.00, 0.00, 0.00, 0.00, 0.80, 0.80, 121.31, 181.08, 1.4, 870, 1126010, 81
2, 0, 3099, 180, 116, 0.20, 0.20, 526898, 35032, 7.60, 8.20, 10.60, 8.20, 0.20, 5.00, 5.00, 16.00, 109.40, 2.2, 198, 1080638, 91
4, 3, 1887, 144, 93, 0.20, 0.20, 48118, 58743, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16.60, 17.80, 2.4, 2097, 1720363, 95
0, 0, 2772, 148, 221, 0.20, 0.20, 95025, 96367, 8.00, 15.60, 13.40, 0.00, 0.80, 1.20, 1.20, 15.60, 19.20, 2.0, 226, 1708712, 90
64, 82, 2442, 456, 192, 1.20, 0.80, 584516, 567421, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 98.60, 148.60, 2.0, 555, 1041030, 88
0, 0, 1162, 230, 83, 0.40, 1.80, 227587, 216272, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 34.40, 40.40, 4.8, 2576, 1602462, 95
4, 0, 4562, 201, 149, 0.20, 0.20, 61399, 41637, 0.00, 0.00, 0.00, 0.00, 0.00, 5.00, 48.60, 16.00, 27.20, 2.8, 1076, 1770294, 82
81, 45, 1479, 180, 199, 0.80, 2.00, 110797, 88252, 3.01, 12.83, 12.83, 0.00, 1.40, 10.62, 11.02, 61.52, 123.65, 335, 90, 10, 0
1, 0, 2361, 286, 183, 0.20, 0.20, 154222, 94948, 8.78, 18.96, 52.50, 87.03, 0.80, 2.99, 4.99, 17.56, 132.93, 1.5, 132, 993843, 87
4, 2, 2421, 581, 170, 2.20, 3.79, 1029143, 278592, 4.99, 22.36, 48.70, 120.96, 0.40, 2.00, 2.40, 324.75, 215.77, 1.3, 163, 1111235, 80
26, 39, 1722, 139, 114, 0.20, 0.20, 163304, 47725, 14.60, 18.40, 18.00, 0.00, 13.40, 0.40, 0.40, 21.60, 37.00, 1.0, 229, 1016514, 91
12, 2, 2763, 366, 256, 6.20, 4.80, 310712, 49538, 0.60, 0.60, 0.60, 0.00, 0.60, 3.00, 15.40, 309.60, 602.00, 1.8, 498, 1122262, 76
3, 1, 2072, 262, 241, 1.40, 1.40, 330763, 387350, 2.00, 12.20, 34.60, 77.00, 6.80, 10.00, 14.40, 122.00, 155.80, 2.6, 137, 1374699, 87
3, 1, 3662, 256, 187, 1.80, 3.79, 360623, 160015, 19.76, 27.35, 55.49, 95.01, 8.38, 7.19, 10.98, 117.17, 202.99, 3.2, 159, 989493, 80
8, 6, 2336, 206, 90, 0.40, 1.00, 136627, 53677, 0.00, 0.00, 0.00, 0.00, 0.00, 2.40, 2.40, 35.20, 61.40, 5.4, 2869, 1584662, 89
31, 27, 366, 80, 62, 0.20, 0.20, 412220, 287099, 0.00, 0.00, 0.00, 0.00, 0.60, 3.00, 5.60, 15.60, 17.80, 3.4, 4179, 1824024, 92
7, 2, 4133, 222, 154, 1.40, 1.40, 15783, 9833, 0.00, 0.00, 0.00, 0.00, 0.00, 1.60, 1.80, 83.00, 139.00, 2.8, 1297, 1523251, 85
0, 0, 3896, 199, 156, 0.60, 2.79, 130609, 63759, 2.79, 4.99, 4.99, 0.00, 0.80, 4.39, 4.39, 22.95, 79.44, 2.7, 146, 983954, 88
9, 9, 383, 122, 43, 0.20, 0.20, 361823, 114595, 0.00, 0.00, 0.00, 0.00, 0.00, 0.40, 0.40, 15.60, 17.80, 2.0, 1390, 1745830, 95
