% The task consists of Learning Quantitative Structure Activity
% Relationships (QSARs). The Inhibition of Dihydrofolate Reductase by
% Pyrimidines.The data are described in: King, Ross .D., Muggleton,
% Steven., Lewis, Richard. and Sternberg, Michael.J.E. Drug Design by
% machine learning: the use of inductive logic programming to model the
% structure-activity relationships of trimethoprim analogues binding to
% dihydrofolate reductase.
% 
% Original source: ?. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 74 cases; 28 continuous variables 

@relation pyrim

@attribute p1_polar numeric
@attribute p1_size numeric
@attribute p1_flex numeric
@attribute p1_h_doner numeric
@attribute p1_h_acceptor numeric
@attribute p1_pi_doner numeric
@attribute p1_pi_acceptor numeric
@attribute p1_polarisable numeric
@attribute p1_sigma numeric
@attribute p2_polar numeric
@attribute p2_size numeric
@attribute p2_flex numeric
@attribute p2_h_doner numeric
@attribute p2_h_acceptor numeric
@attribute p2_pi_doner numeric
@attribute p2_pi_acceptor numeric
@attribute p2_polarisable numeric
@attribute p2_sigma numeric
@attribute p3_polar numeric
@attribute p3_size numeric
@attribute p3_flex numeric
@attribute p3_h_doner numeric
@attribute p3_h_acceptor numeric
@attribute p3_pi_doner numeric
@attribute p3_pi_acceptor numeric
@attribute p3_polarisable numeric
@attribute p3_sigma numeric
@attribute activity numeric

@data
0.300, 0.900, 0.800, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.560
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.740, 0.420, 0.100, 0.100, 0.100, 0.100, 0.900, 0.100, 0.580, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.584
0.300, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.420, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.633, 0.633, 0.100, 0.100, 0.500, 0.500, 0.000, 0.367, 0.367, 0.900
0.300, 0.260, 0.100, 0.100, 0.100, 0.500, 0.100, 0.900, 0.260, 0.580, 0.260, 0.100, 0.900, 0.900, 0.900, 0.100, 0.500, 0.420, 0.633, 0.367, 0.100, 0.100, 0.100, 0.500, 0.000, 0.900, 0.367, 0.893
0.300, 0.580, 0.500, 0.100, 0.900, 0.500, 0.100, 0.367, 0.260, 0.420, 0.580, 0.500, 0.100, 0.900, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.674
0.500, 0.260, 0.100, 0.900, 0.900, 0.900, 0.100, 0.367, 0.420, 0.580, 0.260, 0.100, 0.900, 0.900, 0.900, 0.100, 0.500, 0.420, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.569
0.300, 0.580, 0.500, 0.100, 0.900, 0.500, 0.100, 0.367, 0.260, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.579
0.300, 0.740, 0.300, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.642
0.100, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.580, 0.260, 0.100, 0.900, 0.900, 0.900, 0.100, 0.500, 0.420, 0.367, 0.367, 0.100, 0.100, 0.100, 0.100, 0.000, 0.367, 0.100, 0.720
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.580, 0.260, 0.100, 0.100, 0.100, 0.500, 0.100, 0.900, 0.420, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.619
0.700, 0.580, 0.200, 0.100, 0.100, 0.100, 0.500, 0.633, 0.420, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.632
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.420, 0.900, 0.800, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.451
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.260, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.572
0.500, 0.260, 0.100, 0.100, 0.100, 0.100, 0.500, 0.100, 0.580, 0.420, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.738
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.420, 0.580, 0.500, 0.100, 0.900, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.561
0.300, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.420, 0.900, 0.900, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.633, 0.633, 0.100, 0.100, 0.500, 0.500, 0.000, 0.367, 0.367, 0.763
0.300, 0.900, 0.700, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.624
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.420, 0.100, 0.100, 0.100, 0.100, 0.900, 0.100, 0.580, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.534
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.260, 0.100, 0.100, 0.500, 0.100, 0.100, 0.100, 0.900, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.554
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.420, 0.420, 0.100, 0.500, 0.500, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.628
0.500, 0.260, 0.100, 0.100, 0.100, 0.500, 0.100, 0.633, 0.420, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.638
0.300, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.420, 0.580, 0.500, 0.100, 0.900, 0.500, 0.100, 0.500, 0.260, 0.633, 0.633, 0.100, 0.100, 0.500, 0.500, 0.000, 0.367, 0.367, 0.829
0.300, 0.580, 0.200, 0.500, 0.900, 0.500, 0.100, 0.100, 0.260, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.584
0.100, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.602
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.420, 0.580, 0.500, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.628
0.500, 0.260, 0.100, 0.100, 0.100, 0.500, 0.100, 0.367, 0.580, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.595
0.500, 0.260, 0.100, 0.100, 0.100, 0.100, 0.500, 0.100, 0.580, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.646
0.300, 0.420, 0.300, 0.900, 0.900, 0.100, 0.100, 0.367, 0.100, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.545
0.300, 0.260, 0.100, 0.100, 0.100, 0.500, 0.100, 0.900, 0.260, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.675
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.580, 0.260, 0.100, 0.900, 0.900, 0.900, 0.100, 0.500, 0.420, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.568
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.740, 0.580, 0.200, 0.100, 0.100, 0.100, 0.500, 0.900, 0.420, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.589
0.500, 0.260, 0.100, 0.900, 0.900, 0.900, 0.100, 0.367, 0.420, 0.420, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.621
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.420, 0.740, 0.300, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.628
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.634
0.100, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.367, 0.100, 0.100, 0.100, 0.100, 0.000, 0.367, 0.100, 0.649
0.300, 0.580, 0.400, 0.100, 0.900, 0.500, 0.100, 0.367, 0.260, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.633, 0.900, 0.900, 0.100, 0.900, 0.500, 0.000, 0.367, 0.367, 0.661
0.300, 0.900, 0.900, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.420, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.665
0.300, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.420, 0.900, 0.900, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.633, 0.633, 0.100, 0.100, 0.500, 0.500, 0.000, 0.367, 0.367, 0.671
0.300, 0.740, 0.400, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.700
0.300, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.420, 0.740, 0.300, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.716
0.300, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.580, 0.260, 0.100, 0.900, 0.900, 0.900, 0.100, 0.500, 0.420, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.717
0.300, 0.740, 0.300, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.420, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.734
0.300, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.260, 0.420, 0.100, 0.100, 0.500, 0.900, 0.100, 0.500, 0.260, 0.633, 0.633, 0.100, 0.100, 0.500, 0.500, 0.000, 0.367, 0.367, 0.741
0.300, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.420, 0.580, 0.500, 0.100, 0.900, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.749
0.700, 0.580, 0.200, 0.100, 0.100, 0.100, 0.500, 0.633, 0.420, 0.420, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.753
0.100, 0.420, 0.300, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.260, 0.420, 0.300, 0.100, 0.100, 0.100, 0.100, 0.500, 0.100, 0.367, 0.633, 0.633, 0.100, 0.100, 0.100, 0.000, 0.367, 0.100, 0.756
0.300, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.740, 0.580, 0.200, 0.100, 0.100, 0.100, 0.500, 0.900, 0.420, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.772
0.300, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.580, 0.260, 0.100, 0.100, 0.100, 0.500, 0.100, 0.900, 0.420, 0.633, 0.633, 0.100, 0.100, 0.500, 0.500, 0.000, 0.367, 0.367, 0.805
